time,incidence
1,13
2,14
3,17
4,30
5,46
6,72
7,109
8,185
9,264
10,278
11,297
12,302
13,343
14,327
15,415
16,433
17,526
18,570
19,696
20,745
21,773
22,778
23,802
24,847
25,922
26,954
27,942
28,919
29,855
30,806
31,736
32,681
33,757
34,705
35,652
36,550
37,533
38,494
39,449
40,397
41,347
42,281
43,224
44,211
45,177
46,186
47,159
48,152
49,142
50,124
51,128
52,91
53,100
54,48
55,38
56,53
57,43
58,40
59,37
60,41
61,35
62,52
63,49
64,38
65,43
66,29
67,27
68,16
69,7
70,7
71,11
72,6
73,9
74,6
75,4
76,6
77,3
78,5
79,3
80,2
81,1
82,1
83,1
